# Dutch-English curated course for A0-A2, ordered by increasing difficulty.
# Columns: batch<TAB>level<TAB>nl<TAB>en
batch	level	nl	en
1	A0	hallo	hello
1	A0	dag	hi / bye
1	A0	goedemorgen	good morning
1	A0	goedemiddag	good afternoon
1	A0	goedenavond	good evening
1	A0	tot ziens	goodbye
1	A0	dank je	thank you
1	A0	alstublieft	please
1	A0	ja	yes
1	A0	nee	no
2	A0	ik	I
2	A0	jij	you
2	A0	u	you (formal)
2	A0	hij	he
2	A0	zij	she
2	A0	wij	we
2	A0	jullie	you (plural)
2	A0	ze	they
2	A0	mijn	my
2	A0	jouw	your
3	A0	zijn	to be
3	A0	ik ben	I am
3	A0	jij bent	you are
3	A0	hij is	he is
3	A0	wij zijn	we are
3	A0	hebben	to have
3	A0	ik heb	I have
3	A0	jij hebt	you have
3	A0	het is	it is
3	A0	er is	there is
4	A0	wat	what
4	A0	wie	who
4	A0	waar	where
4	A0	wanneer	when
4	A0	waarom	why
4	A0	hoe	how
4	A0	welke	which
4	A0	dit	this
4	A0	dat	that
4	A0	hier	here
5	A0	nul	zero
5	A0	een	one
5	A0	twee	two
5	A0	drie	three
5	A0	vier	four
5	A0	vijf	five
5	A0	zes	six
5	A0	zeven	seven
5	A0	acht	eight
5	A0	negen	nine
6	A0	tien	ten
6	A0	elf	eleven
6	A0	twaalf	twelve
6	A0	twintig	twenty
6	A0	honderd	hundred
6	A0	vandaag	today
6	A0	morgen	tomorrow
6	A0	gisteren	yesterday
6	A0	nu	now
6	A0	later	later
7	A1	de man	man
7	A1	de vrouw	woman
7	A1	het kind	child
7	A1	de jongen	boy
7	A1	het meisje	girl
7	A1	de vriend	friend
7	A1	de vriendin	female friend / girlfriend
7	A1	de familie	family
7	A1	de vader	father
7	A1	de moeder	mother
8	A1	de broer	brother
8	A1	de zus	sister
8	A1	de ouder	parent
8	A1	de collega	colleague
8	A1	de buurman	neighbor
8	A1	de buurvrouw	female neighbor
8	A1	de leraar	teacher
8	A1	de student	student
8	A1	de dokter	doctor
8	A1	de klant	customer
9	A1	het huis	house
9	A1	het appartement	apartment
9	A1	de kamer	room
9	A1	de keuken	kitchen
9	A1	de badkamer	bathroom
9	A1	de slaapkamer	bedroom
9	A1	de woonkamer	living room
9	A1	de deur	door
9	A1	het raam	window
9	A1	het bed	bed
10	A1	de tafel	table
10	A1	de stoel	chair
10	A1	de sleutel	key
10	A1	de tas	bag
10	A1	de telefoon	phone
10	A1	de computer	computer
10	A1	het boek	book
10	A1	het papier	paper
10	A1	de pen	pen
10	A1	het geld	money
11	A1	het water	water
11	A1	de koffie	coffee
11	A1	de thee	tea
11	A1	het brood	bread
11	A1	de kaas	cheese
11	A1	de melk	milk
11	A1	het ei	egg
11	A1	de appel	apple
11	A1	de banaan	banana
11	A1	de soep	soup
12	A1	de winkel	shop
12	A1	de supermarkt	supermarket
12	A1	de prijs	price
12	A1	de kassa	checkout
12	A1	de bon	receipt
12	A1	de korting	discount
12	A1	betalen	to pay
12	A1	kopen	to buy
12	A1	zoeken	to search
12	A1	nodig hebben	to need
13	A1	gaan	to go
13	A1	komen	to come
13	A1	wonen	to live
13	A1	werken	to work
13	A1	leren	to learn
13	A1	spreken	to speak
13	A1	luisteren	to listen
13	A1	kijken	to look / watch
13	A1	lezen	to read
13	A1	schrijven	to write
14	A1	eten	to eat
14	A1	drinken	to drink
14	A1	slapen	to sleep
14	A1	lopen	to walk
14	A1	fietsen	to cycle
14	A1	rijden	to drive
14	A1	maken	to make
14	A1	doen	to do
14	A1	nemen	to take
14	A1	geven	to give
15	A1	goed	good
15	A1	slecht	bad
15	A1	groot	big
15	A1	klein	small
15	A1	lang	long / tall
15	A1	kort	short
15	A1	nieuw	new
15	A1	oud	old
15	A1	mooi	beautiful
15	A1	lelijk	ugly
16	A1	warm	warm
16	A1	koud	cold
16	A1	duur	expensive
16	A1	goedkoop	cheap
16	A1	makkelijk	easy
16	A1	moeilijk	difficult
16	A1	snel	fast
16	A1	langzaam	slow
16	A1	open	open
16	A1	dicht	closed
17	A1	de straat	street
17	A1	de stad	city
17	A1	het dorp	village
17	A1	het station	station
17	A1	de bushalte	bus stop
17	A1	het park	park
17	A1	het centrum	center
17	A1	het kantoor	office
17	A1	de school	school
17	A1	het ziekenhuis	hospital
18	A1	de fiets	bicycle
18	A1	de auto	car
18	A1	de bus	bus
18	A1	de tram	tram
18	A1	de trein	train
18	A1	de metro	metro
18	A1	het ticket	ticket
18	A1	het perron	platform
18	A1	de weg	road
18	A1	de brug	bridge
19	A1	links	left
19	A1	rechts	right
19	A1	rechtdoor	straight ahead
19	A1	dichtbij	nearby
19	A1	ver	far
19	A1	voor	in front of / before
19	A1	achter	behind
19	A1	naast	next to
19	A1	tussen	between
19	A1	tegenover	opposite
20	A1	de dag	day
20	A1	de week	week
20	A1	de maand	month
20	A1	het jaar	year
20	A1	de ochtend	morning
20	A1	de middag	afternoon
20	A1	de avond	evening
20	A1	de nacht	night
20	A1	het uur	hour
20	A1	de minuut	minute
21	A2	willen	to want
21	A2	kunnen	can / to be able
21	A2	moeten	must / to have to
21	A2	mogen	may / to be allowed
21	A2	zullen	will
21	A2	hoeven	need to
21	A2	ik wil	I want
21	A2	ik kan	I can
21	A2	ik moet	I must
21	A2	ik mag	I may
22	A2	Hoe gaat het?	How are you?
22	A2	met mij gaat het goed	I am doing well
22	A2	leuk je te ontmoeten	nice to meet you
22	A2	geen probleem	no problem
22	A2	tot morgen	see you tomorrow
22	A2	misschien	maybe
22	A2	natuurlijk	of course
22	A2	eigenlijk	actually
22	A2	bijna	almost
22	A2	genoeg	enough
23	A2	het hoofd	head
23	A2	het gezicht	face
23	A2	de hand	hand
23	A2	de arm	arm
23	A2	het been	leg
23	A2	de voet	foot
23	A2	de rug	back
23	A2	ziek	sick
23	A2	gezond	healthy
23	A2	pijn	pain
24	A2	de afspraak	appointment
24	A2	de huisarts	general practitioner
24	A2	de apotheek	pharmacy
24	A2	het medicijn	medicine
24	A2	de verzekering	insurance
24	A2	de koorts	fever
24	A2	hoesten	to cough
24	A2	bellen	to call
24	A2	wachten	to wait
24	A2	helpen	to help
25	A2	het weer	weather
25	A2	de zon	sun
25	A2	de regen	rain
25	A2	de wind	wind
25	A2	de wolk	cloud
25	A2	het sneeuwt	it is snowing
25	A2	het regent	it is raining
25	A2	het is koud	it is cold
25	A2	het is warm	it is warm
25	A2	de temperatuur	temperature
26	A2	het restaurant	restaurant
26	A2	het café	cafe
26	A2	de ober	waiter
26	A2	de menukaart	menu
26	A2	bestellen	to order
26	A2	de rekening	bill
26	A2	lekker	tasty
26	A2	zonder	without
26	A2	met	with
26	A2	ik wil graag	I would like
27	A2	het werk	work
27	A2	de baan	job
27	A2	de vergadering	meeting
27	A2	de e-mail	email
27	A2	het bericht	message
27	A2	het project	project
27	A2	beginnen	to start
27	A2	eindigen	to end
27	A2	uitleggen	to explain
27	A2	begrijpen	to understand
28	A2	praten	to talk
28	A2	vertellen	to tell
28	A2	vragen	to ask
28	A2	antwoorden	to answer
28	A2	herhalen	to repeat
28	A2	betekenen	to mean
28	A2	verstaan	to understand by hearing
28	A2	langzamer	slower
28	A2	Nederlands	Dutch
28	A2	Engels	English
29	A2	de kleding	clothes
29	A2	de broek	trousers
29	A2	het shirt	shirt
29	A2	de jas	coat
29	A2	de schoenen	shoes
29	A2	passen	to fit / try on
29	A2	ruilen	to exchange
29	A2	terugbrengen	to return
29	A2	repareren	to repair
29	A2	het formulier	form
30	A2	de huur	rent
30	A2	huren	to rent
30	A2	de verhuurder	landlord
30	A2	de factuur	invoice / bill
30	A2	de energie	energy
30	A2	het contract	contract
30	A2	verhuizen	to move house
30	A2	schoonmaken	to clean
30	A2	de was	laundry
30	A2	het afval	trash
31	A2	de bank	bank
31	A2	de bankrekening	bank account
31	A2	de pinpas	debit card
31	A2	pinnen	to pay by card / withdraw cash
31	A2	contant	cash
31	A2	de gemeente	municipality
31	A2	het paspoort	passport
31	A2	het loket	counter
31	A2	inschrijven	to register
31	A2	aanvragen	to apply for
32	A2	opstaan	to get up
32	A2	aankomen	to arrive
32	A2	meenemen	to take along
32	A2	uitgaan	to go out
32	A2	terugkomen	to come back
32	A2	afspreken	to make an appointment / meet up
32	A2	invullen	to fill in
32	A2	opruimen	to tidy up
32	A2	uitzetten	to turn off
32	A2	aanzetten	to turn on
33	A2	blij	happy
33	A2	verdrietig	sad
